,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021,5/28/2021,5/29/2021,5/30/2021,5/31/2021,6/1/2021,6/2/2021,6/3/2021,6/4/2021,6/5/2021,6/6/2021,6/7/2021,6/8/2021,6/9/2021,6/10/2021,6/11/2021,6/12/2021,6/13/2021,6/14/2021,6/15/2021,6/16/2021,6/17/2021,6/18/2021,6/19/2021,6/20/2021
Casos,1582,1582,1582,1606,1630,1650,1650,1704,1704,1704,1765,1765,1835,1878,1909,1909,1950,1981,2024,2056,2086,2123,2123,2160,2160,2197,2239,2239,2259,2259,2288,2313,2329,2333,2357,2370,2370,2370,2401,2417,2470,2470,2470,2470,2470,2499,2499,2541,2560,2560,2560,2560,2647,2677,2711,2731,2749,2749,2772,2786,2795,2811,2836,2850,2850,2850,2908,2909,2939,2939,3005,3005,3074,3075,3109,3145,3205,3206,3206,3206,3289,3316,3339,3367,3367,3367,3367,3415,3448,3464,3464,3464,3464,3499,3532,3550,3557,3558,3558,3558,3582,3600,3600,3610,3632,3632,3644,3644,3649,3649,3659,3659,3659,3679,3679,3679,3685,3692,3699,3699,3699,3703,3711,3716,3742,3753,3753,3753,3795,3795,3818,3834,3851,3851,3851,3864,3884,3906,3926,3926,3926,3926,3969,3969,3985,3993,4001,4013,4013,4013,4032,4041,4041,4041,4041,4080,4086,4106,4116,4131,4143,4143,4143,4160,4166,4171,4177,4177,4177,4177,4193
Muertes,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,54,54,55,55,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,59,59,59,61,62,62,62,64,64,65,65,65,65,67,67,67,70,70,70,70,70,72,73,73,74,74,74,74,76,78,78,78,78,78,79,80,80,80,80,80,80,82,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,86,86,86,86,86,86,86,87,87,87,87,87,87,87,90,90,90,90,90,90,91,91,91,91,91,92,92,93,93,93,93,93,93,93,93,94,94,94,94,94,95
